Site,DepthZone,mean_surveydepth
Laguna Beach,Middle,11
Laguna Beach,Outer,14
Lechuza,Inner,6
Lechuza,Middle,10
Leucadia,Inner,6
Leucadia,Middle,11
Leucadia,Outer,14
Little Dume West,Inner,5
Little Dume West,Middle,9
Little Dume West,Outer,13
Matlahuayl,Inner,6
Matlahuayl,Middle,10
Nicholas Canyon West,Inner,6
Nicholas Canyon West,Middle,11
Nicholas Canyon West,Outer,14
Point Dume,Inner,5
Point Dume,Middle,10
Point Dume,Outer,14
Point Loma Central,Inner,6
Point Loma Central,Middle,10
Point Loma Central,Outer,15
Point Loma Central,Deep,23
PVR 1A,ARM,17
PVR 1B,ARM,17
PVR 1C,ARM,18
PVR 2A,ARM,17
PVR 2B,ARM,18
PVR 2C,ARM,18
PVR 3A,ARM,17
PVR 3B,ARM,19
PVR 3C,ARM,21
PVR 4A,ARM,17
PVR 4B,ARM,19
PVR 4C,ARM,20
PVR 5A,ARM,17
PVR 5B,ARM,19
PVR 5C,ARM,20
PVR 6A,ARM,17
PVR 6B,ARM,19
PVR 6C,ARM,20
PVR 7A,ARM,17
PVR 7B,ARM,19
PVR 7C,ARM,21
PVR 8A,ARM,18
PVR 8B,ARM,20
PVR 8C,ARM,21
San Mateo Kelp,Middle,10
San Mateo Kelp,Outer,15
SBI - Cat Canyon,Inner,6
SBI - Cat Canyon,Middle,10
SBI - Cat Canyon,Deep,21
SBI - Cat Canyon,Outer,15
SBI - Southeast Reef,Inner,6
SBI - Southeast Reef,Middle,10
SBI - Southeast Reef,Outer,17
SBI - Southeast Reef,Deep,25
SBI - Southeast Sealion,Inner,6
SBI - Southeast Sealion,Middle,10
SBI - Southeast Sealion,Outer,14
SBI - Sutil,Inner,5
SBI - Sutil,Middle,11
SBI - Sutil,Outer,16
SBI - Sutil,Deep,24
SCAI - Cat Harbor,Inner,4
SCAI - Cat Harbor,Outer,15
SCAI - Cat Harbor,Middle,10
SCAI - China Point,Inner,5
SCAI - China Point,Middle,10
SCAI - China Point,Outer,14
SCAI - Indian Rock,Inner,5
SCAI - Indian Rock,Middle,10
SCAI - Indian Rock,Outer,15
SCAI - Salta Verde,Inner,6
SCAI - Salta Verde,Middle,10
SCAI - Salta Verde,Outer,14
SCAI - Ship Rock,Inner,5
SCAI - Ship Rock,Middle,10
SCAI - Ship Rock,Outer,15
SCAI - Ship Rock,Deep,26
South La Jolla,Inner,5
South La Jolla,Middle,10
South La Jolla,Outer,16
South La Jolla,Deep,24
Swami's,Inner,5
Swami's,Middle,10
Swami's,Outer,16
PVR 3D,ARM,19
PVR 4D,ARM,18
PVR 6D,ARM,19
Hermosa Beach AR - AC,ARM,18
Hermosa Beach AR - Boxes,ARM,18
Hermosa Beach AR - NW,ARM,19
Hermosa Beach AR - Pier Pilings,ARM,19
Redondo Beach AR - Barge,ARM,23
Redondo Beach AR - C,ARM,23
Redondo Beach AR - D,ARM,24
Redondo Beach AR - E,ARM,23
Santa Monica Bay AR - 11,ARM,18
Santa Monica Bay AR - 16,ARM,18
Santa Monica Bay AR - 17,ARM,23
Santa Monica Bay AR - 19,ARM,23
Santa Monica Bay AR - 9,ARM,18
Santa Monica Bay AR - 20,ARM,23
Santa Monica Bay AR - 22,ARM,23
Santa Monica Bay AR - 7,ARM,14
Santa Monica Jetty - Exterior,ARM,6
SCAI - Indian Rock,Deep,24
Star of Scotland,ARM,22
Wreck of the Avalon,ARM,21
Big Rock,Inner,8
Buck Gully,Inner,5
Buck Gully,Middle,9
Cabrillo National Monument,Inner,6
Cabrillo National Monument,Middle,10
Cabrillo National Monument,Outer,13
Deep Hole East,Inner,6
Deep Hole East,Middle,10
Deep Hole East,Outer,14
Deep Hole West,Deep,22
Deep Hole West,Inner,5
Deep Hole West,Middle,10
Deep Hole West,Outer,14
El Matador,Inner,6
El Matador,Middle,9
El Pescador,Middle,11
El Sol,Middle,10
El Sol,Outer,12
Escondido East,Inner,6
Escondido East,Middle,10
KH - West Breakwater,Inner,5
KH - West Breakwater,Middle,10
KH - West Breakwater,Outer,14
La Piedra,Middle,10
Leo Carrillo,Inner,5
Leo Carrillo,Middle,9
Little Dume East,Inner,4
Little Dume East,Middle,9
Little Dume East,Outer,12
Malibu Bluffs,Inner,7
Malibu Bluffs,Middle,9
Malibu Bluffs Eelgrass,Middle,11
Marina del Rey AR - C,ARM,19
Marina del Rey AR - H,ARM,19
Marina del Rey AR - O,ARM,18
Marina del Rey AR - Q,ARM,20
Marina del Rey AR - R,ARM,19
Marina del Rey Breakwater - Exterior,Inner,6
Nicholas Canyon East,Middle,10
Nicholas Canyon East,Outer,13
Point Loma North,Deep,25
Point Loma North,Inner,5
Point Loma North,Middle,10
Point Loma North,Outer,17
Point Loma South,Deep,22
Point Loma South,Inner,5
Point Loma South,Middle,11
Point Loma South,Outer,15
Redondo Beach AR - FG,ARM,24
Redondo Beach AR - IJ,ARM,24
Santa Monica Bay AR - 14,ARM,18
Santa Monica Bay AR - 5,ARM,14
Santa Monica Jetty - Interior,ARM,7
SCAI - Casino Point,Deep,22
SCAI - Casino Point,Inner,5
SCAI - Casino Point,Middle,10
SCAI - Casino Point,Outer,16
SCAI - Intake Pipes,Deep,23
SCAI - Intake Pipes,Inner,5
SCAI - Intake Pipes,Middle,10
SCAI - Intake Pipes,Outer,14
SCAI - Isthmus Reef,Deep,23
SCAI - Isthmus Reef,Inner,5
SCAI - Isthmus Reef,Middle,10
SCAI - Isthmus Reef,Outer,15
SCAI - Lion Head,Deep,25
SCAI - Lion Head,Inner,5
SCAI - Lion Head,Middle,11
SCAI - Lion Head,Outer,16
SCAI - Torqua,Deep,22
SCAI - Torqua,Inner,4
SCAI - Torqua,Middle,10
SCAI - Torqua,Outer,14
Bolsa Chica AR - 19,ARM,24
Bolsa Chica AR - A,ARM,26
Huntington Beach AR - A4,ARM,20
Huntington Beach AR - B4,ARM,20
Huntington Beach AR - C,ARM,20
Huntington Beach AR - C2,ARM,20
Huntington Beach AR - D12,ARM,20
