Location,Latitude,Longitude
Lunada Bay Middle,33.771893,-118.430377
Lunada Bay Inner,33.771011,-118.427236
SCAI - Bird Rock Deep,33.4565,-118.48719
SCAI - Bird Rock Outer,33.45227,-118.48746
SCAI - Bird Rock Middle,33.45201,-118.48766
SCAI - Bird Rock Inner,33.45181,-118.48762
SCAI - Isthmus Reef Deep,33.449465,-118.490628
SCAI - Isthmus Reef Outer,33.449082,-118.4907566
SCAI - Isthmus Reef Middle,33.4488508,-118.4912143
SCAI - Isthmus Reef Inner,33.4479,-118.49004
Santa Monica AR - B ARM,34.009324,-118.531234
Santa Monica AR - C ARM,34.008944,-118.530878
Star of Scotland ARM,33.996934,-118.520377
Resort Point Deep,33.76631,-118.42913
Resort Point Outer,33.76687,-118.42871
Rocky Point South Deep,33.77763,-118.43553
Rocky Point South Outer,33.77638,-118.43224
Resort Point Middle,33.766611,-118.427248
Resort Point Inner,33.766342,-118.425866
Ridges South Deep,33.78786,-118.429328
Ridges South Outer,33.786182,-118.425727
Ridges South Middle,33.785091,-118.424872
Portuguese Point Outer,33.735499,-118.375218
Portuguese Point Middle,33.736726,-118.375657
Portuguese Point Inner,33.736726,-118.375657
Rocky Point South Middle,33.775087,-118.431392
Rocky Point South Inner,33.774402,-118.430012
Portuguese Bend Deep,33.725097,-118.358924
Portuguese Bend Outer,33.726765,-118.357813
Portuguese Bend Middle,33.728988,-118.357135
Portuguese Bend Inner,33.729157,-118.356351
Escondido West Middle,34.020374,-118.77272
Escondido West Inner,34.022061,-118.774113
Escondido East Middle,34.021231,-118.768124
Escondido East Inner,34.022528,-118.769146
Malibu Bluffs Eelgrass,34.02716,-118.704844
Malibu Bluffs Middle,34.028058,-118.701581
Malibu Bluffs Inner,34.028926,-118.701576
Big Rock Inner,34.03542,-118.607797
Bunker Point Middle,33.72547,-118.35383
Bunker Point Inner,33.72619,-118.35291
Cape Point Inner,33.72241,-118.33922
Old 18th Inner,33.72395,-118.34283
Burial Grounds Inner,33.7253,-118.34707
Ridges South Inner,33.78398,-118.42385
Deep Hole West Deep,34.04537,-118.97465
Deep Hole West Outer,34.04733,-118.97092
Deep Hole East Outer,34.04343,-118.95432
Deep Hole East Middle,34.04419,-118.95156
Deep Hole West Middle,34.04695,-118.96437
Deep Hole West Inner,34.04675,-118.9593
Deep Hole East Inner,34.04525,-118.95249
Little Dume East Outer,34.00673,-118.78813
Little Dume East Middle,34.00795,-118.789
Little Dume East Inner,34.01159,-118.79031
Nicholas Canyon West Outer,34.03746,-118.92278
El Matador Middle,34.03468,-118.87936
Lechuza Middle,34.03178,-118.86332
SCAI - Torqua Deep,33.38381,-118.35873
SCAI - Torqua Outer,33.3838306,-118.3591132
SCAI - Torqua Middle,33.3837713,-118.3593613
SCAI - Torqua Inner,33.38386,-118.35987
SCAI - Intake Pipes Outer,33.44714,-118.48525
Long Point East Deep,33.73401,-118.40297
Long Point East Outer,33.73545,-118.40175
PVR 8C ARM,33.71836,-118.34039
PVR 8B ARM,33.71884,-118.34057
PVR 7C ARM,33.71962,-118.34231
PVR 8A ARM,33.7193,-118.34009
Long Point East Middle,33.73572,-118.40135
SCAI - China Point Outer,33.32953,-118.46999
SCAI - China Point Middle,33.33003,-118.4694
SCAI - China Point Inner,33.33025,-118.4691
SCAI - Salta Verde Outer,33.31364,-118.42205
SCAI - Salta Verde Middle,33.31488,-118.42198
SCAI - Salta Verde Inner,33.315504,-118.421958
Bunker Point Outer,33.72461,-118.35418
Bunker Point Deep,33.72336,-118.35413
Cape Point Middle,33.7217,-118.34034
Cape Point Outer,33.720286,-118.340831
Old 18th Middle,33.72322,-118.34348
SCLI - Pyramid Cove Inner,32.81755,-118.36991
SCLI - Pyramid Cove Middle,32.81645,-118.37053
SCLI - Eel Point Inner,32.90499,-118.53767
SCLI - Eel Point Middle,32.9047,-118.53816
Matlahuayl Inner,32.85247,-117.27041
Matlahuayl Middle,32.85296,-117.27035
Children's Pool Inner,32.85057,-117.27765
Children's Pool Middle,32.85205,-117.27886
Children's Pool Outer,32.85382,-117.2801
South La Jolla Deep,32.80679,-117.29464
South La Jolla Inner,32.8166,-117.2798
South La Jolla Middle,32.81839,-117.28498
South La Jolla Outer,32.80962,-117.28668
Point Loma North Inner,32.72323,-117.26107
Point Loma North Middle,32.72406,-117.26301
Point Loma North Outer,32.72404,-117.27074
Point Loma North Deep,32.72459,-117.276838
Point Loma Central Inner,32.71011,-117.26009
Point Loma South Inner,32.67806,-117.25551
Cabrillo National Monument Inner,32.67806,-117.25551
Cabrillo National Monument Middle,32.6635,-117.24792
Point Loma South Middle,32.67227,-117.26357
Point Loma South Outer,32.66862,-117.26293
Point Loma Central Middle,32.70946,-117.2626
Point Loma Central Outer,32.71007,-117.26956
Point Loma Central Deep,32.70974,-117.27601
Point Loma South Deep,32.66893,-117.26513
Cabrillo National Monument Outer,32.65031,-117.24656
Cabrillo National Monument Deep,,
Swami's Outer,33.03533,-117.30196
Leucadia Outer,33.06369,-117.31211
Swami's Middle,33.03546,-117.30066
Swami's Inner,33.03669,-117.29966
Leucadia Middle,33.06522,-117.3107
Leucadia Inner,33.06423,-117.30909
San Mateo Kelp Outer,33.38451,-117.61312
San Mateo Kelp Middle,33.38508,-117.60313
Buck Gully Middle,33.58661,-117.86892
Buck Gully Inner,33.58778,-117.86865
Crystal Cove Outer,33.56359,-117.83787
Crystal Cove Middle,33.56409,-117.83563
Crystal Cove Inner,33.56417,-117.83472
Heisler Park Outer,33.53984,-117.79276
Heisler Park Middle,33.54031,-117.79234
Heisler Park Inner,33.54159,-117.79119
