spp,common
Anisotremus davidsonii,xantic sargo
Chromis punctipinnis,blacksmith
Embiotoca jacksoni,black perch
Girella nigricans,opaleye
Halichoeres semicinctus,rock wrasse
Kyphosus azureus,zebra-perch sea chub
Hypsypops rubicundus,Garibaldi damselfish
Medialuna californiensis,halfmoon
Mycteroperca xenarcha,broomtail grouper
Oxyjulis californica,senorita
Paralabrax clathratus,kelp bass
Paralabrax nebulifer,barred sand bass
Rhacochilus toxotes,rubberlip seaperch
Sebastes miniatus,vermillion rockfish
Sebastes serranoides,olive rockfish
Bodianus pulcher,California sheephead
Stereolepis gigas,giant sea bass
Brachyistius frenatus,kelp perch
Hypsurus caryi,rainbow seaperch
Lythrypnus dalli,bluebanded goby
Rhinogobiops nicholsii,blackeye goby
